Proceso,Ano,Presupuesto,Real
1,2014,0,0
10,2014,0,0
11,2014,106966680,136494562
12,2014,234614970,226030720
13,2014,261112110,291655472
14,2014,655162941,724082358
16,2014,0,0
17,2014,0,0
18,2014,0,0
19,2014,178455606,209376583
2,2014,3096190725,1751323489
20,2014,464989177,540612174
21,2014,71968542,60872430
22,2014,478359341,486859200
24,2014,17693750,13923236
25,2014,29429462,29472196
26,2014,0,0
27,2014,0,0
28,2014,0,0
29,2014,36332858,39665541
3,2014,148763222,93914994
30,2014,601665044,880695729
31,2014,6041199,5397197
4,2014,0,1805030
5,2014,0,0
6,2014,54151,112842
7,2014,862028059,1012329552
9,2014,201825890,330760735
1,2015,0,0
10,2015,1360441,2653832
11,2015,565353141,276139693
12,2015,385674351,406446717
13,2015,437160532,662625432
14,2015,50326568,81928289
16,2015,193809,266002
17,2015,2882132,3296705
18,2015,15842628,14618611
19,2015,207096523,239484088
2,2015,2932349,10675961
20,2015,235855567,222807229
21,2015,51768127,61837019
22,2015,1135778367,1141094666
24,2015,206606590,226807315
25,2015,184612395,216077085
26,2015,0,0
27,2015,5665331,4690405
28,2015,16117932,7780641
29,2015,11308272,29782181
3,2015,41412232,14708868
30,2015,1034046348,928830625
31,2015,48916358,16150225
4,2015,128629125,143127253
5,2015,0,0
6,2015,59146771,63877615
7,2015,280763774,433612754
9,2015,251406286,290618416
1,2016,0,738652
10,2016,2059426,1338557
11,2016,226266585,233843709
12,2016,243650857,312877336
13,2016,575868387,946298070
14,2016,97053644,95773452
16,2016,480963,668822
17,2016,2580298,7006653
18,2016,12489403,21511109
19,2016,201024238,185795439
2,2016,1930126,4144361
20,2016,165007172,162177040
21,2016,44541999,61175567
22,2016,858405619,873783731
24,2016,159075469,204219180
25,2016,153766464,290002760
27,2016,2639131,3470636
28,2016,10846971,56176520
29,2016,18088671,13984211
3,2016,24150680,23817488
30,2016,732475204,590529977
31,2016,0,1211626
4,2016,113584348,123761433
5,2016,0,1554243
6,2016,87448347,136898942
7,2016,205772736,715331566
9,2016,252959872,247245859
15,2016,38908986,36785032
,,,
,,,
,,,
,,,
,,,
,,,
,,,
