Proceso,Mes,Ano,Presupuesto,Real
Proceso 2,11,2014,990768554,560416458
Proceso 2,12,2014,2105422171,1190907030
Proceso 3,2,2014,18527,11696
Proceso 3,3,2014,126881874,83857785
Proceso 3,4,2014,11531080,5401331
Proceso 3,5,2014,9196953,4644182
Proceso 4,7,2014,0,1731515
Proceso 4,8,2014,0,73515
Proceso 6,3,2014,54151,112842
Proceso 7,2,2014,74895,87954
Proceso 7,3,2014,27822270,22550010
Proceso 7,5,2014,354648796,426607948
Proceso 7,6,2014,146691843,163614355
Proceso 7,7,2014,319711881,395702798
Proceso 7,8,2014,2946842,3460647
Proceso 7,11,2014,13212058,305840
Proceso 9,9,2014,194639571,328864082
Proceso 9,12,2014,7186319,1896653
Proceso 11,1,2014,106467881,135858072
Proceso 11,7,2014,498798,636490
Proceso 12,1,2014,139160,134068
Proceso 12,2,2014,6949042,5976632
Proceso 12,3,2014,196740977,189542486
Proceso 12,8,2014,30827375,30377535
Proceso 13,1,2014,163231998,183328423
Proceso 13,7,2014,460653,514538
Proceso 13,8,2014,110440,123359
Proceso 13,10,2014,773206,158315
Proceso 13,12,2014,96530877,107530837
Proceso 14,4,2014,404242405,431720190
Proceso 14,5,2014,250920536,292362167
Proceso 19,2,2014,5090421,5972437
Proceso 19,3,2014,202864,238014
Proceso 19,9,2014,121584481,142651406
Proceso 19,10,2014,51577840,60514725
Proceso 20,1,2014,11261015,13092438
Proceso 20,3,2014,18238866,21205124
Proceso 20,7,2014,8165751,9493779
Proceso 20,10,2014,415776156,483395448
Proceso 20,11,2014,11547390,13425386
Proceso 21,8,2014,0,60872430
Proceso 22,2,2014,203355784,210016651
Proceso 22,3,2014,673384,685349
Proceso 22,6,2014,219222502,212406915
Proceso 22,7,2014,55147836,63750286
Proceso 23,8,2014,0,70057284
Proceso 24,1,2014,16904783,13441629
Proceso 24,3,2014,612030,481607
Proceso 25,1,2014,303936,304377
Proceso 25,3,2014,29419821,29167819
Proceso 29,3,2014,36332858,39665541
Proceso 30,1,2014,20597721,13480314
Proceso 30,2,2014,176845771,255905764
Proceso 30,3,2014,38548184,54694623
Proceso 30,4,2014,147708,216210
Proceso 30,6,2014,87611012,140812637
Proceso 30,7,2014,17476561,23391912
Proceso 30,8,2014,209606888,306032825
Proceso 30,9,2014,50572021,86161444
Proceso 31,7,2014,32785,29290
Proceso 31,8,2014,3619241,3233424
